gene_id,s_dmso,s_drb_1,s_flavopiridol_2,s_triptolide_3
AALF001689,0,0,0,0
AALF001690,0,0,0,0
AALF001691,0,0,0,0
AALF001692,0,0,0,0
AALF001693,0,0,0,0
AALF001694,0,0,0,0
AALF001695,0,0,0,0
AALF001696,0,0,0,0
AALF001697,0,0,0,0
AALF001698,8,1,2,0
AALF001701,1,0,0,2
AALF001702,73,59,46,60
AALF001703,0,0,0,1
AALF001704,134,137,125,74
AALF001707,120,59,34,26
AALF001708,0,0,0,0
AALF001709,40,21,16,27
AALF001712,0,0,1,2
AALF001713,3,0,0,0
AALF001714,5,1,1,3
AALF001715,3,2,1,3
AALF001716,7,1,1,0
AALF001717,5,2,0,3
AALF001725,0,0,0,0
AALF001726,326,286,192,247
AALF001727,12,9,5,7
AALF001730,0,0,0,0
AALF001734,238,169,142,146
AALF001738,0,0,0,0
AALF001740,0,0,0,0
AALF001743,0,0,0,0
AALF001744,2,8,0,8
AALF001745,4,4,2,4
AALF001746,0,0,0,0
AALF001747,0,0,0,0
AALF001757,0,0,0,0
AALF001759,8,19,3,9
AALF001760,4,3,4,5
AALF001763,0,0,0,0
AALF001764,62,43,24,29
AALF001765,225,104,86,73
AALF001766,66,10,9,3
AALF001767,36,12,4,5
AALF001768,0,0,0,0
AALF001769,434,538,332,368
AALF001770,750,282,203,175
AALF001771,1,0,0,0
AALF001772,76,24,22,8
AALF001773,42,26,13,0
AALF001774,0,0,0,0
AALF001775,0,0,0,0
AALF001781,0,0,0,0
AALF001782,66,82,32,73
AALF001783,147,53,38,28
AALF001790,98,58,48,42
AALF001791,0,0,0,0
AALF001792,0,0,0,0
AALF001793,0,0,0,0
AALF001794,2,1,0,0
AALF001795,0,0,0,0
AALF001796,0,0,0,0
AALF001797,0,0,0,0
AALF001798,105,75,32,45
AALF001801,5,2,1,0
AALF001807,0,0,0,0
AALF001813,0,0,0,0
AALF001814,15,5,2,6
AALF001815,1,1,0,0
AALF001819,43,20,19,29
AALF001829,0,0,0,0
AALF001833,0,0,1,0
AALF001848,0,0,0,0
AALF001849,13,6,3,7
AALF001850,0,0,0,0
AALF001851,0,0,0,0
AALF001852,1,0,4,0
AALF001855,0,0,0,0
AALF001876,184,43,30,49
AALF001877,157,54,47,21
AALF001878,57,15,18,24
AALF001879,336,57,50,46
AALF001880,192,270,199,242
AALF001881,666,213,272,103
AALF001887,132,404,210,323
AALF001889,0,0,2,0
AALF001917,0,0,0,0
AALF001918,37,10,7,6
AALF001919,5,4,0,0
AALF001920,2,0,0,1
AALF001921,486,438,350,359
AALF001922,36,21,8,11
AALF001923,122,88,63,71
AALF001932,0,0,0,0
AALF001936,0,0,0,0
AALF001937,12,5,4,46
AALF001938,11,4,3,1
AALF001939,0,0,0,0
AALF001940,241,172,83,168
AALF001941,444,654,465,638
AALF001942,74,9,11,19
AALF001943,0,0,0,0
AALF001944,64,16,10,15
AALF001946,14,1,4,3
AALF001947,1,0,1,1
AALF001948,884,720,502,572
AALF001949,134,54,52,53
AALF001950,0,0,0,0
AALF001951,0,0,0,0
AALF001952,26,9,6,15
AALF001954,8,2,2,1
AALF001955,51,47,67,0
AALF001956,87,99,60,100
AALF001957,72,51,45,55
AALF001960,0,0,0,0
AALF001961,0,1,3,0
AALF001962,72,23,13,13
AALF001963,21,6,4,10
AALF001966,0,0,0,0
AALF001969,0,3,0,0
AALF001972,0,3,0,1
AALF001981,1,2,0,0
AALF001983,0,0,0,0
AALF001988,0,0,0,0
AALF001989,94,102,72,78
AALF001990,0,0,1,2
AALF001992,1520,1120,846,1118
AALF001994,0,0,0,0
AALF001998,0,0,0,0
AALF001999,0,0,0,0
AALF002000,0,0,0,0
AALF002001,77,19,9,39
AALF002004,116,38,25,47
AALF002005,7,11,5,9
AALF002006,0,0,0,0
