virus	type	shape
White sucker hepatitis B virus	DNA	circular
Privet ringspot virus	RNA	linear
Privet ringspot virus	RNA	linear
Privet ringspot virus	RNA	linear
Human pegivirus 2	RNA	linear
Maize-associated totivirus 1	RNA	linear
Tadarida brasiliensis circovirus 1	DNA	circular
Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014]	DNA	circular
Felis catus gammaherpesvirus 1	DNA	linear
Orsay virus	RNA	linear
Orsay virus	RNA	linear
Sida yellow vein mosaic alphasatellite	DNA	circular
Bos taurus papillomavirus 12	DNA	circular
human papillomavirus 163	DNA	circular
Le Blanc nodavirus	RNA	linear
Le Blanc nodavirus	RNA	linear
Vinca leaf curl virus	DNA	circular
Tomato leaf curl Comoros virus	DNA	circular
Nerine latent virus	RNA	linear
Woolly monkey hepatitis B virus	DNA	circular
Common vole polyomavirus	DNA	circular
Bank vole polyomavirus	DNA	circular
Apple hammerhead viroid-like circular RNA	RNA	circular
Grapevine latent viroid	RNA	circular
Ageratum conyzoides symptomless alphasatellite	DNA	circular
Malachra yellow vein mosaic betasatellite	DNA	circular
Luffa begomovirus betasatellite	DNA	circular
Sumatran orang-utan polyomavirus	DNA	circular
Parrot bornavirus 4	RNA	linear
Sanxia water strider virus 6	RNA	linear
Gamboa mosquito virus	RNA	linear
Bole tick virus 4	RNA	linear
Beihai barnacle viurs 1	RNA	linear
Hedgehog hepatovirus Igel8Erieur2014	RNA	linear
Shrew hepatovirus KS121232Sorara2012	RNA	linear
Rodent hepatovirus RMU101637Micarv2010	RNA	linear
Papaya meleira virus	RNA	linear
Xinzhou spider virus 2	RNA	linear
Xingshan cricket virus	RNA	linear
Wenling shark virus	RNA	linear
Tacheng tick virus 8	RNA	linear
Shuangao lacewing virus 2	RNA	linear
Shayang spider virus 4	RNA	linear
Shayang fly virus 4	RNA	linear
Wuhan aphid virus 2	RNA	linear
Wuhan aphid virus 2	RNA	linear
Wuhan aphid virus 2	RNA	linear
Wuhan aphid virus 2	RNA	linear
Wuhan aphid virus 1	RNA	linear
Wuhan aphid virus 1	RNA	linear
Wuhan aphid virus 1	RNA	linear
Wuhan aphid virus 1	RNA	linear
Shuangao insect virus 7	RNA	linear
Shuangao insect virus 7	RNA	linear
Shuangao insect virus 7	RNA	linear
Shuangao insect virus 7	RNA	linear
Wuhan flea virus	RNA	linear
Wuhan flea virus	RNA	linear
Wuhan flea virus	RNA	linear
Wuhan flea virus	RNA	linear
Wuhan cricket virus	RNA	linear
Wuhan cricket virus	RNA	linear
Wuhan cricket virus	RNA	linear
Wuhan cricket virus	RNA	linear
Ungulate tetraparvovirus 1	DNA	linear
Rice necrosis mosaic virus	RNA	linear
Rice necrosis mosaic virus	RNA	linear
Melochia yellow mosaic virus	DNA	circular
Melochia yellow mosaic virus	DNA	circular
Melochia mosaic virus	DNA	circular
Melochia mosaic virus	DNA	circular
Macrosiphum euphorbiae virus 1	RNA	linear
Melon chlorotic leaf curl virus-[Guatemala]	DNA	linear
Melon chlorotic leaf curl virus-[Guatemala]	DNA	linear
Bean rugose mosaic virus	RNA	linear
Bean rugose mosaic virus	RNA	linear
Posavirus 3	RNA	linear
Inhangapi virus	RNA	linear
Suffolk virus	RNA	circular
Walkabout Creek virus	RNA	linear
Colletotrichum higginsianum non-segmented dsRNA virus 1	RNA	linear
Koolpinyah virus	RNA	linear
Kumasi rhabdovirus	RNA	linear
Yata virus	RNA	linear
Barley yellow striate mosaic cytorhabdovirus	RNA	linear
Datura yellow vein nucleorhabdovirus	RNA	linear
Phocine morbillivirus	RNA	linear
Adelaide River virus	RNA	linear
Tasmanian aquabirnavirus	RNA	linear
Tasmanian aquabirnavirus	RNA	linear
Rosellinia necatrix partitivirus 6	RNA	linear
Rosellinia necatrix partitivirus 6	RNA	linear
Cocal virus	RNA	linear
Wuhan Mosquito Virus 8	RNA	circular
Tacheng Tick Virus 5	RNA	circular
Tacheng Tick Virus 4	RNA	circular
Changping Tick Virus 3	RNA	circular
Changping Tick Virus 2	RNA	circular
Bole Tick Virus 3	RNA	circular
Trichechus manatus latirostris papillomavirus 4	DNA	circular
Cherry small circular viroid-like RNA 1	RNA	circular
Andrographis yellow vein leaf curl virus	DNA	circular
Wuhan tick virus 2	RNA	circular
Caprine parainfluenza virus 3	RNA	linear
Pleospora typhicola fusarivirus 1	RNA	linear
Penicillium aurantiogriseum fusarivirus 1	RNA	linear
Red clover powdery mildew-associated totivirus 9	RNA	linear
Red clover powdery mildew-associated totivirus 7	RNA	linear
Red clover powdery mildew-associated totivirus 6	RNA	linear
Red clover powdery mildew-associated totivirus 5	RNA	linear
Red clover powdery mildew-associated totivirus 3	RNA	linear
Red clover powdery mildew-associated totivirus 2	RNA	linear
Red clover powdery mildew-associated totivirus 1	RNA	linear
Diatraea saccharalis granulovirus	DNA	circular
Botrytis ourmia-like virus	RNA	linear
Botrytis cinerea mitovirus 4	RNA	linear
Botrytis cinerea mitovirus 3	RNA	linear
Botrytis cinerea mitovirus 2	RNA	linear
Sclerotinia sclerotiorum mitovirus 3	RNA	linear
Grapevine associated narnavirus-1	RNA	linear
Tomato brown rugose fruit virus	RNA	linear
Imjin River virus 1	RNA	linear
Ustilaginoidea virens RNA virus 5	RNA	linear
Penicillium aurantiogriseum partitivirus 1	RNA	linear
Penicillium aurantiogriseum partitivirus 1	RNA	linear
Penicillium janczewskii chrysovirus 1	RNA	linear
Penicillium janczewskii chrysovirus 1	RNA	linear
Penicillium janczewskii chrysovirus 1	RNA	linear
Penicillium janczewskii chrysovirus 1	RNA	linear
Sucra jujuba nucleopolyhedrovirus	DNA	circular
Pan troglodytes verus polyomavirus 8	DNA	circular
Actinidia virus X	RNA	linear
Blueberry fruit drop associated virus	DNA	circular
Rattus norvegicus papillomavirus 3	DNA	circular
Botrytis cinerea negative-stranded RNA virus 1	RNA	linear
Maize rough dwarf virus	RNA	linear
Maize rough dwarf virus	RNA	linear
Maize rough dwarf virus	RNA	linear
Maize rough dwarf virus	RNA	linear
Maize rough dwarf virus	RNA	linear
Maize rough dwarf virus	RNA	linear
Maize rough dwarf virus	RNA	linear
Maize rough dwarf virus	RNA	linear
Maize rough dwarf virus	RNA	linear
Maize rough dwarf virus	RNA	linear
Eggplant mottled crinkle virus	RNA	linear
Rat bufavirus SY-2015	DNA	linear
Tofla virus	RNA	linear
Tofla virus	RNA	linear
Tofla virus	RNA	linear
Hawaiian green turtle herpesvirus	DNA	linear
Escherichia virus FI	RNA	linear
Asian prunus virus 3	RNA	linear
Asian prunus virus 2	RNA	linear
Hordeum vulgare alphaendornavirus	RNA	linear
Pepper yellow leaf curl Thailand virus	DNA	circular
Thelephora terrestris virus 1	RNA	linear
Lagomorph bocaparvovirus 1	DNA	linear
Tupaia hepatovirus A	RNA	linear
Avisivirus Pf-CHK1/AsV	RNA	linear
Gallivirus Pf-CHK1/GV	RNA	linear
Swine enteric coronavirus	RNA	linear
Colombian potato soil-borne virus	RNA	linear
Colombian potato soil-borne virus	RNA	linear
Colombian potato soil-borne virus	RNA	linear
Penicillium aurantiogriseum totivirus 1	RNA	linear
Gokushovirinae GNX3R	DNA	circular
Gokushovirinae GAIR4	DNA	circular
Parabacteroides phage YZ-2015b	DNA	circular
Parabacteroides phage YZ-2015a	DNA	circular
Fox fecal rhabdovirus	RNA	linear
BtRf-AlphaCoV/YN2012	RNA	linear
BtRf-AlphaCoV/HuB2013	RNA	linear
BtNv-AlphaCoV/SC2013	RNA	linear
BtMr-AlphaCoV/SAX2011	RNA	linear
Currant latent virus	RNA	linear
Currant latent virus	RNA	linear
Okra leaf curl Oman virus	DNA	circular
Jasmine virus T	RNA	linear
Macropodid alphaherpesvirus 1	DNA	linear
Kafue kinda chacma baboon virus	RNA	linear
Goose dicistrovirus	RNA	linear
Ctenophore-associated circular virus 2	DNA	circular
Ctenophore-associated circular virus 1	DNA	circular
Panax notoginseng virus A	RNA	linear
Erysiphe cichoracearum alphaendornavirus	RNA	linear
Cucumis melo alphaendornavirus	RNA	linear
Turnip leaf roll virus	DNA	circular
Pavonia yellow mosaic virus	DNA	circular
Pavonia yellow mosaic virus	DNA	circular
Rosellinia necatrix megabirnavirus 2-W8	RNA	linear
Rosellinia necatrix megabirnavirus 2-W8	RNA	linear
Elderberry carlavirus E	RNA	linear
Elderberry carlavirus D	RNA	linear
Elderberry carlavirus C	RNA	linear
Elderberry carlavirus B	RNA	linear
Elderberry carlavirus A	RNA	linear
Arrabida virus	RNA	linear
Arrabida virus	RNA	linear
Arrabida virus	RNA	linear
Nectarine marafivirus M	RNA	linear
Adana virus	RNA	linear
Adana virus	RNA	linear
Adana virus	RNA	linear
Iris severe mosaic virus	RNA	linear
Ctenophore-associated circular genome 4	DNA	circular
Ctenophore-associated circular genome 3	DNA	circular
Ctenophore-associated circular genome 1	DNA	circular
Ctenophore-associated circular virus 4	DNA	circular
Ctenophore-associated circular virus 3	DNA	circular
Rat bocavirus	DNA	linear
Delisea pulchra RNA virus	RNA	linear
Bat bocavirus	DNA	linear
Blackberry virus F	DNA	circular
Currant virus A	RNA	linear
Piscine myocarditis-like virus	RNA	linear
Leporid alphaherpesvirus 4	DNA	linear
Camponotus nipponicus virus	RNA	linear
Bhindi yellow vein alphasatellite	DNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Cimodo virus	RNA	linear
Caprine kobuvirus	RNA	linear
Marine RNA virus PAL128	RNA	linear
Marine RNA virus PAL156	RNA	linear
Marine RNA virus PAL473	RNA	linear
Murine roseolovirus	DNA	linear
Pea leaf distortion betasatellite	DNA	circular
